Detailed,,,,,,,,
 ==================== ,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID
Area,0.279596,um^2,Surface,,,,1,0
Area,0.0506377,um^2,Surface,,,,1,1
Area,14.2116,um^2,Surface,,,,1,2
Area,4.07161,um^2,Surface,,,,1,3
Area,0.0506345,um^2,Surface,,,,1,4
Area,3.17585,um^2,Surface,,,,1,5
Area,0.0831409,um^2,Surface,,,,1,6
Area,0.0506333,um^2,Surface,,,,1,7
Area,0.185218,um^2,Surface,,,,1,8
Area,5.96623,um^2,Surface,,,,1,9
Area,3.07059,um^2,Surface,,,,1,10
Area,1.39739,um^2,Surface,,,,1,11
Area,2.26015,um^2,Surface,,,,1,12
Area,1.56189,um^2,Surface,,,,1,13
Area,0.363922,um^2,Surface,,,,1,14
Area,0.133263,um^2,Surface,,,,1,15
Area,2.57562,um^2,Surface,,,,1,16
Area,7.76488,um^2,Surface,,,,1,17
Area,3.86111,um^2,Surface,,,,1,18
Area,0.00269476,um^2,Surface,,,,1,19
Area,0.0831404,um^2,Surface,,,,1,20
Area,0.992946,um^2,Surface,,,,1,21
Area,0.00269482,um^2,Surface,,,,1,22
Area,4.33552,um^2,Surface,,,,1,23
Area,0.130513,um^2,Surface,,,,1,24
Area,4.25997,um^2,Surface,,,,1,25
Area,2.17287,um^2,Surface,,,,1,26
Area,0.784186,um^2,Surface,,,,1,27
Area,8.47645,um^2,Surface,,,,1,28
Area,2.84749,um^2,Surface,,,,1,29
Area,9.00482,um^2,Surface,,,,1,30
Area,3.48385,um^2,Surface,,,,1,31
Area,0.174343,um^2,Surface,,,,1,32
Area,1.69711,um^2,Surface,,,,1,33
Area,0.0506369,um^2,Surface,,,,1,34
Area,0.0506369,um^2,Surface,,,,1,35
Area,0.219022,um^2,Surface,,,,1,36
Area,0.707631,um^2,Surface,,,,1,37
Area,15.4808,um^2,Surface,,,,1,38
Area,0.0506369,um^2,Surface,,,,1,39
Area,0.0916918,um^2,Surface,,,,1,40
Area,0.235467,um^2,Surface,,,,1,41
Area,1.74471,um^2,Surface,,,,1,42
Area,0.905815,um^2,Surface,,,,1,43
Area,2.79055,um^2,Surface,,,,1,44
Area,7.73738,um^2,Surface,,,,1,45
Area,0.974291,um^2,Surface,,,,1,46
Area,1.07793,um^2,Surface,,,,1,47
Area,3.07737,um^2,Surface,,,,1,48
Contact surface area,0.99,um,Surface,,,,,0
Contact surface area,0.565,um,Surface,,,,,1
Contact surface area,0.1225,um,Surface,,,,,2
Contact surface area,0.5475,um,Surface,,,,,3
Contact surface area,0.025,um,Surface,,,,,4
Contact surface area,0.025,um,Surface,,,,,5
Contact surface area,0.41,um,Surface,,,,,6
Contact surface area,0.025,um,Surface,,,,,7
Contact surface area,0.045,um,Surface,,,,,8
Contact surface area,1.5875,um,Surface,,,,,9
Contact surface area,4.43,um,Surface,,,,,10
Contact surface area,1.7425,um,Surface,,,,,11
Contact surface area,0.0925,um,Surface,,,,,12
Contact surface area,0.9075,um,Surface,,,,,13
Contact surface area,0.4925,um,Surface,,,,,14
Contact surface area,0.005,um,Surface,,,,,15
Contact surface area,0.04,um,Surface,,,,,16
Contact surface area,0.5325,um,Surface,,,,,17
Contact surface area,0.005,um,Surface,,,,,18
Contact surface area,2.44,um,Surface,,,,,19
Contact surface area,2.415,um,Surface,,,,,20
Contact surface area,1.22,um,Surface,,,,,21
Contact surface area,0.425,um,Surface,,,,,22
Contact surface area,4.755,um,Surface,,,,,23
Contact surface area,1.6275,um,Surface,,,,,24
Contact surface area,1.9875,um,Surface,,,,,25
Contact surface area,0.125,um,Surface,,,,,26
Contact surface area,8.9425,um,Surface,,,,,27
Contact surface area,1.46,um,Surface,,,,,28
Contact surface area,0.0675,um,Surface,,,,,29
Contact surface area,4.425,um,Surface,,,,,30
Contact surface area,0.06,um,Surface,,,,,31
Contact surface area,0.8725,um,Surface,,,,,32
Contact surface area,1.86,um,Surface,,,,,33
Contact surface area,1.685,um,Surface,,,,,34
Contact surface area,0.7725,um,Surface,,,,,35
Contact surface area,1.235,um,Surface,,,,,36
Contact surface area,0.14,um,Surface,,,,,37
Contact surface area,0.025,um,Surface,,,,,38
Contact surface area,0.04,um,Surface,,,,,39
Contact surface area,2.175,um,Surface,,,,,40
Contact surface area,5.1275,um,Surface,,,,,41
Contact surface area,2.3275,um,Surface,,,,,42
Contact surface area,0.025,um,Surface,,,,,43
Contact surface area,0.025,um,Surface,,,,,44
Contact surface area,0.215,um,Surface,,,,,45
Contact surface area,0.1,um,Surface,,,,,46
Contact surface area,8.255,um,Surface,,,,,47
Contact surface area,3.33,um,Surface,,,,,48
Distance from Origin,150.909,um,Surface,,Distance from Origin,,1,0
Distance from Origin,151.122,um,Surface,,Distance from Origin,,1,1
Distance from Origin,151.849,um,Surface,,Distance from Origin,,1,2
Distance from Origin,160.648,um,Surface,,Distance from Origin,,1,3
Distance from Origin,159.773,um,Surface,,Distance from Origin,,1,4
Distance from Origin,149.732,um,Surface,,Distance from Origin,,1,5
Distance from Origin,151.561,um,Surface,,Distance from Origin,,1,6
Distance from Origin,160.994,um,Surface,,Distance from Origin,,1,7
Distance from Origin,148.053,um,Surface,,Distance from Origin,,1,8
Distance from Origin,152.967,um,Surface,,Distance from Origin,,1,9
Distance from Origin,152.151,um,Surface,,Distance from Origin,,1,10
Distance from Origin,153.338,um,Surface,,Distance from Origin,,1,11
Distance from Origin,150.578,um,Surface,,Distance from Origin,,1,12
Distance from Origin,178.564,um,Surface,,Distance from Origin,,1,13
Distance from Origin,163.291,um,Surface,,Distance from Origin,,1,14
Distance from Origin,159.704,um,Surface,,Distance from Origin,,1,15
Distance from Origin,140.846,um,Surface,,Distance from Origin,,1,16
Distance from Origin,159.51,um,Surface,,Distance from Origin,,1,17
Distance from Origin,150.811,um,Surface,,Distance from Origin,,1,18
Distance from Origin,152.734,um,Surface,,Distance from Origin,,1,19
Distance from Origin,150.817,um,Surface,,Distance from Origin,,1,20
Distance from Origin,154.481,um,Surface,,Distance from Origin,,1,21
Distance from Origin,151.392,um,Surface,,Distance from Origin,,1,22
Distance from Origin,151.325,um,Surface,,Distance from Origin,,1,23
Distance from Origin,157.306,um,Surface,,Distance from Origin,,1,24
Distance from Origin,154.367,um,Surface,,Distance from Origin,,1,25
Distance from Origin,151.403,um,Surface,,Distance from Origin,,1,26
Distance from Origin,152.991,um,Surface,,Distance from Origin,,1,27
Distance from Origin,154.29,um,Surface,,Distance from Origin,,1,28
Distance from Origin,152.95,um,Surface,,Distance from Origin,,1,29
Distance from Origin,151.084,um,Surface,,Distance from Origin,,1,30
Distance from Origin,150.809,um,Surface,,Distance from Origin,,1,31
Distance from Origin,156.167,um,Surface,,Distance from Origin,,1,32
Distance from Origin,153.672,um,Surface,,Distance from Origin,,1,33
Distance from Origin,153.116,um,Surface,,Distance from Origin,,1,34
Distance from Origin,152.661,um,Surface,,Distance from Origin,,1,35
Distance from Origin,150.614,um,Surface,,Distance from Origin,,1,36
Distance from Origin,151.685,um,Surface,,Distance from Origin,,1,37
Distance from Origin,152.261,um,Surface,,Distance from Origin,,1,38
Distance from Origin,152.391,um,Surface,,Distance from Origin,,1,39
Distance from Origin,149.013,um,Surface,,Distance from Origin,,1,40
Distance from Origin,152.043,um,Surface,,Distance from Origin,,1,41
Distance from Origin,138.246,um,Surface,,Distance from Origin,,1,42
Distance from Origin,155.986,um,Surface,,Distance from Origin,,1,43
Distance from Origin,152.649,um,Surface,,Distance from Origin,,1,44
Distance from Origin,149.476,um,Surface,,Distance from Origin,,1,45
Distance from Origin,152.188,um,Surface,,Distance from Origin,,1,46
Distance from Origin,137.389,um,Surface,,Distance from Origin,,1,47
Distance from Origin,152.078,um,Surface,,Distance from Origin,,1,48
Distance to Image Border XY,42.1696,um,Surface,,,Image 1,1,0
Distance to Image Border XY,42.38,um,Surface,,,Image 1,1,1
Distance to Image Border XY,40.4586,um,Surface,,,Image 1,1,2
Distance to Image Border XY,41.6252,um,Surface,,,Image 1,1,3
Distance to Image Border XY,44.18,um,Surface,,,Image 1,1,4
Distance to Image Border XY,29.7746,um,Surface,,,Image 1,1,5
Distance to Image Border XY,42.8625,um,Surface,,,Image 1,1,6
Distance to Image Border XY,42.27,um,Surface,,,Image 1,1,7
Distance to Image Border XY,37.6587,um,Surface,,,Image 1,1,8
Distance to Image Border XY,40.2294,um,Surface,,,Image 1,1,9
Distance to Image Border XY,32.5593,um,Surface,,,Image 1,1,10
Distance to Image Border XY,36.1746,um,Surface,,,Image 1,1,11
Distance to Image Border XY,30.5732,um,Surface,,,Image 1,1,12
Distance to Image Border XY,25.6923,um,Surface,,,Image 1,1,13
Distance to Image Border XY,40.6366,um,Surface,,,Image 1,1,14
Distance to Image Border XY,44.1667,um,Surface,,,Image 1,1,15
Distance to Image Border XY,26.2025,um,Surface,,,Image 1,1,16
Distance to Image Border XY,44.0148,um,Surface,,,Image 1,1,17
Distance to Image Border XY,39.6036,um,Surface,,,Image 1,1,18
Distance to Image Border XY,42.725,um,Surface,,,Image 1,1,19
Distance to Image Border XY,40.0625,um,Surface,,,Image 1,1,20
Distance to Image Border XY,44.4007,um,Surface,,,Image 1,1,21
Distance to Image Border XY,41.775,um,Surface,,,Image 1,1,22
Distance to Image Border XY,42.4095,um,Surface,,,Image 1,1,23
Distance to Image Border XY,29.825,um,Surface,,,Image 1,1,24
Distance to Image Border XY,44.4263,um,Surface,,,Image 1,1,25
Distance to Image Border XY,41.0352,um,Surface,,,Image 1,1,26
Distance to Image Border XY,44.0741,um,Surface,,,Image 1,1,27
Distance to Image Border XY,43.7274,um,Surface,,,Image 1,1,28
Distance to Image Border XY,43.6798,um,Surface,,,Image 1,1,29
Distance to Image Border XY,40.1032,um,Surface,,,Image 1,1,30
Distance to Image Border XY,41.8833,um,Surface,,,Image 1,1,31
Distance to Image Border XY,33.1649,um,Surface,,,Image 1,1,32
Distance to Image Border XY,36.7972,um,Surface,,,Image 1,1,33
Distance to Image Border XY,42.87,um,Surface,,,Image 1,1,34
Distance to Image Border XY,42.38,um,Surface,,,Image 1,1,35
Distance to Image Border XY,41.039,um,Surface,,,Image 1,1,36
Distance to Image Border XY,42.1768,um,Surface,,,Image 1,1,37
Distance to Image Border XY,41.6162,um,Surface,,,Image 1,1,38
Distance to Image Border XY,38.67,um,Surface,,,Image 1,1,39
Distance to Image Border XY,40.9833,um,Surface,,,Image 1,1,40
Distance to Image Border XY,38.1265,um,Surface,,,Image 1,1,41
Distance to Image Border XY,27.9418,um,Surface,,,Image 1,1,42
Distance to Image Border XY,32.6193,um,Surface,,,Image 1,1,43
Distance to Image Border XY,42.5495,um,Surface,,,Image 1,1,44
Distance to Image Border XY,40.8433,um,Surface,,,Image 1,1,45
Distance to Image Border XY,37.5184,um,Surface,,,Image 1,1,46
Distance to Image Border XY,26.554,um,Surface,,,Image 1,1,47
Distance to Image Border XY,38.0123,um,Surface,,,Image 1,1,48
Ellipticity (oblate),0.17817,,Surface,,,,1,0
Ellipticity (oblate),0.38197,,Surface,,,,1,1
Ellipticity (oblate),0.451158,,Surface,,,,1,2
Ellipticity (oblate),0.559232,,Surface,,,,1,3
Ellipticity (oblate),0.381959,,Surface,,,,1,4
Ellipticity (oblate),0.579589,,Surface,,,,1,5
Ellipticity (oblate),0.629768,,Surface,,,,1,6
Ellipticity (oblate),0.381955,,Surface,,,,1,7
Ellipticity (oblate),0.670526,,Surface,,,,1,8
Ellipticity (oblate),0.491325,,Surface,,,,1,9
Ellipticity (oblate),0.524904,,Surface,,,,1,10
Ellipticity (oblate),0.560695,,Surface,,,,1,11
Ellipticity (oblate),0.469778,,Surface,,,,1,12
Ellipticity (oblate),0.604487,,Surface,,,,1,13
Ellipticity (oblate),0.0820969,,Surface,,,,1,14
Ellipticity (oblate),0.39303,,Surface,,,,1,15
Ellipticity (oblate),0.495874,,Surface,,,,1,16
Ellipticity (oblate),0.396173,,Surface,,,,1,17
Ellipticity (oblate),0.545318,,Surface,,,,1,18
Ellipticity (oblate),0.222318,,Surface,,,,1,19
Ellipticity (oblate),0.629719,,Surface,,,,1,20
Ellipticity (oblate),0.273186,,Surface,,,,1,21
Ellipticity (oblate),0.222295,,Surface,,,,1,22
Ellipticity (oblate),0.377623,,Surface,,,,1,23
Ellipticity (oblate),0.593805,,Surface,,,,1,24
Ellipticity (oblate),0.646907,,Surface,,,,1,25
Ellipticity (oblate),0.429798,,Surface,,,,1,26
Ellipticity (oblate),0.546993,,Surface,,,,1,27
Ellipticity (oblate),0.763027,,Surface,,,,1,28
Ellipticity (oblate),0.563967,,Surface,,,,1,29
Ellipticity (oblate),0.531777,,Surface,,,,1,30
Ellipticity (oblate),0.288664,,Surface,,,,1,31
Ellipticity (oblate),0.499021,,Surface,,,,1,32
Ellipticity (oblate),0.852202,,Surface,,,,1,33
Ellipticity (oblate),0.381969,,Surface,,,,1,34
Ellipticity (oblate),0.381967,,Surface,,,,1,35
Ellipticity (oblate),0.164903,,Surface,,,,1,36
Ellipticity (oblate),0.551192,,Surface,,,,1,37
Ellipticity (oblate),0.462057,,Surface,,,,1,38
Ellipticity (oblate),0.381969,,Surface,,,,1,39
Ellipticity (oblate),0.210422,,Surface,,,,1,40
Ellipticity (oblate),0.468684,,Surface,,,,1,41
Ellipticity (oblate),0.643944,,Surface,,,,1,42
Ellipticity (oblate),0.442412,,Surface,,,,1,43
Ellipticity (oblate),0.584601,,Surface,,,,1,44
Ellipticity (oblate),0.330162,,Surface,,,,1,45
Ellipticity (oblate),0.5433,,Surface,,,,1,46
Ellipticity (oblate),0.689991,,Surface,,,,1,47
Ellipticity (oblate),0.401636,,Surface,,,,1,48
Ellipticity (prolate),0.48047,,Surface,,,,1,0
Ellipticity (prolate),0.475228,,Surface,,,,1,1
Ellipticity (prolate),0.398269,,Surface,,,,1,2
Ellipticity (prolate),0.23042,,Surface,,,,1,3
Ellipticity (prolate),0.475281,,Surface,,,,1,4
Ellipticity (prolate),0.109951,,Surface,,,,1,5
Ellipticity (prolate),0.232129,,Surface,,,,1,6
Ellipticity (prolate),0.475283,,Surface,,,,1,7
Ellipticity (prolate),0.177725,,Surface,,,,1,8
Ellipticity (prolate),0.319402,,Surface,,,,1,9
Ellipticity (prolate),0.280405,,Surface,,,,1,10
Ellipticity (prolate),0.229124,,Surface,,,,1,11
Ellipticity (prolate),0.341954,,Surface,,,,1,12
Ellipticity (prolate),0.182262,,Surface,,,,1,13
Ellipticity (prolate),0.671587,,Surface,,,,1,14
Ellipticity (prolate),0.341036,,Surface,,,,1,15
Ellipticity (prolate),0.262042,,Surface,,,,1,16
Ellipticity (prolate),0.387957,,Surface,,,,1,17
Ellipticity (prolate),0.281175,,Surface,,,,1,18
Ellipticity (prolate),0.799765,,Surface,,,,1,19
Ellipticity (prolate),0.232188,,Surface,,,,1,20
Ellipticity (prolate),0.191334,,Surface,,,,1,21
Ellipticity (prolate),0.799817,,Surface,,,,1,22
Ellipticity (prolate),0.488948,,Surface,,,,1,23
Ellipticity (prolate),0.0699157,,Surface,,,,1,24
Ellipticity (prolate),0.225179,,Surface,,,,1,25
Ellipticity (prolate),0.186258,,Surface,,,,1,26
Ellipticity (prolate),0.235823,,Surface,,,,1,27
Ellipticity (prolate),0.154889,,Surface,,,,1,28
Ellipticity (prolate),0.286251,,Surface,,,,1,29
Ellipticity (prolate),0.24731,,Surface,,,,1,30
Ellipticity (prolate),0.549744,,Surface,,,,1,31
Ellipticity (prolate),0.33658,,Surface,,,,1,32
Ellipticity (prolate),0.0722811,,Surface,,,,1,33
Ellipticity (prolate),0.475248,,Surface,,,,1,34
Ellipticity (prolate),0.47524,,Surface,,,,1,35
Ellipticity (prolate),0.491301,,Surface,,,,1,36
Ellipticity (prolate),0.230523,,Surface,,,,1,37
Ellipticity (prolate),0.316457,,Surface,,,,1,38
Ellipticity (prolate),0.475248,,Surface,,,,1,39
Ellipticity (prolate),0.551477,,Surface,,,,1,40
Ellipticity (prolate),0.279996,,Surface,,,,1,41
Ellipticity (prolate),0.179779,,Surface,,,,1,42
Ellipticity (prolate),0.217982,,Surface,,,,1,43
Ellipticity (prolate),0.227212,,Surface,,,,1,44
Ellipticity (prolate),0.373405,,Surface,,,,1,45
Ellipticity (prolate),0.0932399,,Surface,,,,1,46
Ellipticity (prolate),0.0619208,,Surface,,,,1,47
Ellipticity (prolate),0.442659,,Surface,,,,1,48
Generation,0,,Surface,,,,1,0
Generation,0,,Surface,,,,1,1
Generation,0,,Surface,,,,1,2
Generation,0,,Surface,,,,1,3
Generation,0,,Surface,,,,1,4
Generation,0,,Surface,,,,1,5
Generation,0,,Surface,,,,1,6
Generation,0,,Surface,,,,1,7
Generation,0,,Surface,,,,1,8
Generation,0,,Surface,,,,1,9
Generation,0,,Surface,,,,1,10
Generation,0,,Surface,,,,1,11
Generation,0,,Surface,,,,1,12
Generation,0,,Surface,,,,1,13
Generation,0,,Surface,,,,1,14
Generation,0,,Surface,,,,1,15
Generation,0,,Surface,,,,1,16
Generation,0,,Surface,,,,1,17
Generation,0,,Surface,,,,1,18
Generation,0,,Surface,,,,1,19
Generation,0,,Surface,,,,1,20
Generation,0,,Surface,,,,1,21
Generation,0,,Surface,,,,1,22
Generation,0,,Surface,,,,1,23
Generation,0,,Surface,,,,1,24
Generation,0,,Surface,,,,1,25
Generation,0,,Surface,,,,1,26
Generation,0,,Surface,,,,1,27
Generation,0,,Surface,,,,1,28
Generation,0,,Surface,,,,1,29
Generation,0,,Surface,,,,1,30
Generation,0,,Surface,,,,1,31
Generation,0,,Surface,,,,1,32
Generation,0,,Surface,,,,1,33
Generation,0,,Surface,,,,1,34
Generation,0,,Surface,,,,1,35
Generation,0,,Surface,,,,1,36
Generation,0,,Surface,,,,1,37
Generation,0,,Surface,,,,1,38
Generation,0,,Surface,,,,1,39
Generation,0,,Surface,,,,1,40
Generation,0,,Surface,,,,1,41
Generation,0,,Surface,,,,1,42
Generation,0,,Surface,,,,1,43
Generation,0,,Surface,,,,1,44
Generation,0,,Surface,,,,1,45
Generation,0,,Surface,,,,1,46
Generation,0,,Surface,,,,1,47
Generation,0,,Surface,,,,1,48
Intensity Max,1,,Surface,1,,Image 1,1,0
Intensity Max,0,,Surface,2,,Image 1,1,0
Intensity Max,10,,Surface,3,,Image 1,1,0
Intensity Max,36,,Surface,4,,Image 1,1,0
Intensity Max,1,,Surface,5,,Image 1,1,0
Intensity Max,0,,Surface,6,,Image 1,1,0
Intensity Max,1,,Surface,1,,Image 1,1,1
Intensity Max,0,,Surface,2,,Image 1,1,1
Intensity Max,10,,Surface,3,,Image 1,1,1
Intensity Max,31,,Surface,4,,Image 1,1,1
Intensity Max,1,,Surface,5,,Image 1,1,1
Intensity Max,0,,Surface,6,,Image 1,1,1
Intensity Max,3,,Surface,1,,Image 1,1,2
Intensity Max,37,,Surface,2,,Image 1,1,2
Intensity Max,32,,Surface,3,,Image 1,1,2
Intensity Max,54,,Surface,4,,Image 1,1,2
Intensity Max,3,,Surface,5,,Image 1,1,2
Intensity Max,37,,Surface,6,,Image 1,1,2
Intensity Max,4,,Surface,1,,Image 1,1,3
Intensity Max,41,,Surface,2,,Image 1,1,3
Intensity Max,4,,Surface,3,,Image 1,1,3
Intensity Max,51,,Surface,4,,Image 1,1,3
Intensity Max,4,,Surface,5,,Image 1,1,3
Intensity Max,41,,Surface,6,,Image 1,1,3
Intensity Max,1,,Surface,1,,Image 1,1,4
Intensity Max,1,,Surface,2,,Image 1,1,4
Intensity Max,0,,Surface,3,,Image 1,1,4
Intensity Max,65,,Surface,4,,Image 1,1,4
Intensity Max,1,,Surface,5,,Image 1,1,4
Intensity Max,1,,Surface,6,,Image 1,1,4
Intensity Max,2,,Surface,1,,Image 1,1,5
Intensity Max,20,,Surface,2,,Image 1,1,5
Intensity Max,4,,Surface,3,,Image 1,1,5
Intensity Max,39,,Surface,4,,Image 1,1,5
Intensity Max,2,,Surface,5,,Image 1,1,5
Intensity Max,20,,Surface,6,,Image 1,1,5
Intensity Max,1,,Surface,1,,Image 1,1,6
Intensity Max,0,,Surface,2,,Image 1,1,6
Intensity Max,3,,Surface,3,,Image 1,1,6
Intensity Max,26,,Surface,4,,Image 1,1,6
Intensity Max,1,,Surface,5,,Image 1,1,6
Intensity Max,0,,Surface,6,,Image 1,1,6
Intensity Max,1,,Surface,1,,Image 1,1,7
Intensity Max,0,,Surface,2,,Image 1,1,7
Intensity Max,0,,Surface,3,,Image 1,1,7
Intensity Max,24,,Surface,4,,Image 1,1,7
Intensity Max,1,,Surface,5,,Image 1,1,7
Intensity Max,0,,Surface,6,,Image 1,1,7
Intensity Max,0,,Surface,1,,Image 1,1,8
Intensity Max,2,,Surface,2,,Image 1,1,8
Intensity Max,11,,Surface,3,,Image 1,1,8
Intensity Max,29,,Surface,4,,Image 1,1,8
Intensity Max,0,,Surface,5,,Image 1,1,8
Intensity Max,2,,Surface,6,,Image 1,1,8
Intensity Max,4,,Surface,1,,Image 1,1,9
Intensity Max,20,,Surface,2,,Image 1,1,9
Intensity Max,3,,Surface,3,,Image 1,1,9
Intensity Max,60,,Surface,4,,Image 1,1,9
Intensity Max,4,,Surface,5,,Image 1,1,9
Intensity Max,20,,Surface,6,,Image 1,1,9
Intensity Max,5,,Surface,1,,Image 1,1,10
Intensity Max,25,,Surface,2,,Image 1,1,10
Intensity Max,3,,Surface,3,,Image 1,1,10
Intensity Max,32,,Surface,4,,Image 1,1,10
Intensity Max,5,,Surface,5,,Image 1,1,10
Intensity Max,25,,Surface,6,,Image 1,1,10
Intensity Max,4,,Surface,1,,Image 1,1,11
Intensity Max,16,,Surface,2,,Image 1,1,11
Intensity Max,4,,Surface,3,,Image 1,1,11
Intensity Max,33,,Surface,4,,Image 1,1,11
Intensity Max,4,,Surface,5,,Image 1,1,11
Intensity Max,16,,Surface,6,,Image 1,1,11
Intensity Max,4,,Surface,1,,Image 1,1,12
Intensity Max,13,,Surface,2,,Image 1,1,12
Intensity Max,3,,Surface,3,,Image 1,1,12
Intensity Max,32,,Surface,4,,Image 1,1,12
Intensity Max,4,,Surface,5,,Image 1,1,12
Intensity Max,13,,Surface,6,,Image 1,1,12
Intensity Max,2,,Surface,1,,Image 1,1,13
Intensity Max,22,,Surface,2,,Image 1,1,13
Intensity Max,3,,Surface,3,,Image 1,1,13
Intensity Max,24,,Surface,4,,Image 1,1,13
Intensity Max,2,,Surface,5,,Image 1,1,13
Intensity Max,22,,Surface,6,,Image 1,1,13
Intensity Max,0,,Surface,1,,Image 1,1,14
Intensity Max,7,,Surface,2,,Image 1,1,14
Intensity Max,3,,Surface,3,,Image 1,1,14
Intensity Max,30,,Surface,4,,Image 1,1,14
Intensity Max,0,,Surface,5,,Image 1,1,14
Intensity Max,7,,Surface,6,,Image 1,1,14
Intensity Max,1,,Surface,1,,Image 1,1,15
Intensity Max,1,,Surface,2,,Image 1,1,15
Intensity Max,0,,Surface,3,,Image 1,1,15
Intensity Max,30,,Surface,4,,Image 1,1,15
Intensity Max,1,,Surface,5,,Image 1,1,15
Intensity Max,1,,Surface,6,,Image 1,1,15
Intensity Max,4,,Surface,1,,Image 1,1,16
Intensity Max,24,,Surface,2,,Image 1,1,16
Intensity Max,2,,Surface,3,,Image 1,1,16
Intensity Max,34,,Surface,4,,Image 1,1,16
Intensity Max,4,,Surface,5,,Image 1,1,16
Intensity Max,24,,Surface,6,,Image 1,1,16
Intensity Max,3,,Surface,1,,Image 1,1,17
Intensity Max,41,,Surface,2,,Image 1,1,17
Intensity Max,3,,Surface,3,,Image 1,1,17
Intensity Max,69,,Surface,4,,Image 1,1,17
Intensity Max,3,,Surface,5,,Image 1,1,17
Intensity Max,41,,Surface,6,,Image 1,1,17
Intensity Max,3,,Surface,1,,Image 1,1,18
Intensity Max,21,,Surface,2,,Image 1,1,18
Intensity Max,33,,Surface,3,,Image 1,1,18
Intensity Max,62,,Surface,4,,Image 1,1,18
Intensity Max,3,,Surface,5,,Image 1,1,18
Intensity Max,21,,Surface,6,,Image 1,1,18
Intensity Max,6,,Surface,1,,Image 1,1,19
Intensity Max,2,,Surface,2,,Image 1,1,19
Intensity Max,0,,Surface,3,,Image 1,1,19
Intensity Max,52,,Surface,4,,Image 1,1,19
Intensity Max,6,,Surface,5,,Image 1,1,19
Intensity Max,2,,Surface,6,,Image 1,1,19
Intensity Max,2,,Surface,1,,Image 1,1,20
Intensity Max,4,,Surface,2,,Image 1,1,20
Intensity Max,0,,Surface,3,,Image 1,1,20
Intensity Max,21,,Surface,4,,Image 1,1,20
Intensity Max,2,,Surface,5,,Image 1,1,20
Intensity Max,4,,Surface,6,,Image 1,1,20
Intensity Max,4,,Surface,1,,Image 1,1,21
Intensity Max,11,,Surface,2,,Image 1,1,21
Intensity Max,0,,Surface,3,,Image 1,1,21
Intensity Max,59,,Surface,4,,Image 1,1,21
Intensity Max,4,,Surface,5,,Image 1,1,21
Intensity Max,11,,Surface,6,,Image 1,1,21
Intensity Max,1,,Surface,1,,Image 1,1,22
Intensity Max,0,,Surface,2,,Image 1,1,22
Intensity Max,12,,Surface,3,,Image 1,1,22
Intensity Max,31,,Surface,4,,Image 1,1,22
Intensity Max,1,,Surface,5,,Image 1,1,22
Intensity Max,0,,Surface,6,,Image 1,1,22
Intensity Max,2,,Surface,1,,Image 1,1,23
Intensity Max,16,,Surface,2,,Image 1,1,23
Intensity Max,24,,Surface,3,,Image 1,1,23
Intensity Max,74,,Surface,4,,Image 1,1,23
Intensity Max,2,,Surface,5,,Image 1,1,23
Intensity Max,16,,Surface,6,,Image 1,1,23
Intensity Max,0,,Surface,1,,Image 1,1,24
Intensity Max,0,,Surface,2,,Image 1,1,24
Intensity Max,0,,Surface,3,,Image 1,1,24
Intensity Max,37,,Surface,4,,Image 1,1,24
Intensity Max,0,,Surface,5,,Image 1,1,24
Intensity Max,0,,Surface,6,,Image 1,1,24
Intensity Max,4,,Surface,1,,Image 1,1,25
Intensity Max,18,,Surface,2,,Image 1,1,25
Intensity Max,4,,Surface,3,,Image 1,1,25
Intensity Max,48,,Surface,4,,Image 1,1,25
Intensity Max,4,,Surface,5,,Image 1,1,25
Intensity Max,18,,Surface,6,,Image 1,1,25
Intensity Max,5,,Surface,1,,Image 1,1,26
Intensity Max,14,,Surface,2,,Image 1,1,26
Intensity Max,9,,Surface,3,,Image 1,1,26
Intensity Max,82,,Surface,4,,Image 1,1,26
Intensity Max,5,,Surface,5,,Image 1,1,26
Intensity Max,14,,Surface,6,,Image 1,1,26
Intensity Max,2,,Surface,1,,Image 1,1,27
Intensity Max,8,,Surface,2,,Image 1,1,27
Intensity Max,4,,Surface,3,,Image 1,1,27
Intensity Max,44,,Surface,4,,Image 1,1,27
Intensity Max,2,,Surface,5,,Image 1,1,27
Intensity Max,8,,Surface,6,,Image 1,1,27
Intensity Max,7,,Surface,1,,Image 1,1,28
Intensity Max,26,,Surface,2,,Image 1,1,28
Intensity Max,4,,Surface,3,,Image 1,1,28
Intensity Max,63,,Surface,4,,Image 1,1,28
Intensity Max,7,,Surface,5,,Image 1,1,28
Intensity Max,26,,Surface,6,,Image 1,1,28
Intensity Max,9,,Surface,1,,Image 1,1,29
Intensity Max,24,,Surface,2,,Image 1,1,29
Intensity Max,6,,Surface,3,,Image 1,1,29
Intensity Max,49,,Surface,4,,Image 1,1,29
Intensity Max,9,,Surface,5,,Image 1,1,29
Intensity Max,24,,Surface,6,,Image 1,1,29
Intensity Max,5,,Surface,1,,Image 1,1,30
Intensity Max,49,,Surface,2,,Image 1,1,30
Intensity Max,4,,Surface,3,,Image 1,1,30
Intensity Max,45,,Surface,4,,Image 1,1,30
Intensity Max,5,,Surface,5,,Image 1,1,30
Intensity Max,49,,Surface,6,,Image 1,1,30
