
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,13.71,um^2,Dendrite,,6,,3,,1,,100000012,510000003966,
Dendrite Area,2.02397,um^2,Dendrite,,7,,4,,1,,100000012,510000004000,
Dendrite Area,11.3206,um^2,Dendrite,,6,,4,,1,,100000012,510000004105,
Dendrite Area,13.809,um^2,Dendrite,,4,,3,,1,,100000012,510000004315,
Dendrite Area,15.8722,um^2,Dendrite,,5,,4,,1,,100000012,510000004389,
Dendrite Area,23.9009,um^2,Dendrite,,7,,3,,1,,100000012,510000004417,
Dendrite Area,8.48435,um^2,Dendrite,,8,,3,,1,,100000012,510000004476,
Dendrite Area,15.5565,um^2,Dendrite,,3,,3,,1,,100000012,510000004524,
Dendrite Area,16.8172,um^2,Dendrite,,4,,3,,1,,100000012,510000004556,
Dendrite Area,8.69902,um^2,Dendrite,,5,,3,,1,,100000012,510000004594,
Dendrite Area,26.1151,um^2,Dendrite,,6,,3,,1,,100000012,510000004614,
Dendrite Area,33.6262,um^2,Dendrite,,7,,4,,1,,100000012,510000004668,
Dendrite Area,12.8098,um^2,Dendrite,,10,,3,,1,,100000012,510000004762,
Dendrite Area,34.435,um^2,Dendrite,,5,,1,,1,,100000012,510000004842,
Dendrite Area,16.3901,um^2,Dendrite,,9,,3,,1,,100000012,510000004997,
Dendrite Area,11.619,um^2,Dendrite,,3,,3,,1,,100000012,510000005018,
Dendrite Area,1.11906,um^2,Dendrite,,9,,4,,1,,100000012,510000005186,
Dendrite Area,22.3361,um^2,Dendrite,,7,,4,,1,,100000012,510000005674,
Dendrite Area,6.94676,um^2,Dendrite,,10,,4,,1,,100000012,510000006214,
Dendrite Area,8.17451,um^2,Dendrite,,9,,3,,1,,100000012,510000006382,
Dendrite Area,19.447,um^2,Dendrite,,9,,4,,1,,100000012,510000006559,
Dendrite Area,19.4615,um^2,Dendrite,,6,,4,,1,,100000012,510000006744,
Dendrite Area,1.15363,um^2,Dendrite,,7,,5,,1,,100000012,510000006792,
Dendrite Area,10.6741,um^2,Dendrite,,9,,3,,1,,100000012,510000006795,
Dendrite Area,6.57335,um^2,Dendrite,,9,,4,,1,,100000012,510000006854,
Dendrite Area,7.29466,um^2,Dendrite,,8,,3,,1,,100000012,510000006870,
Dendrite Area,8.73673,um^2,Dendrite,,9,,3,,1,,100000012,510000006889,
Dendrite Area,6.45815,um^2,Dendrite,,8,,4,,1,,100000012,510000007114,
Dendrite Area,38.9295,um^2,Dendrite,,6,,2,,1,,100000012,510000007315,
Dendrite Area,16.029,um^2,Dendrite,,7,,3,,1,,100000012,510000007403,
Dendrite Area,9.94585,um^2,Dendrite,,8,,2,,1,,100000012,510000007449,
Dendrite Area,6.91678,um^2,Dendrite,,8,,4,,1,,100000012,510000007472,
Dendrite Area,5.76704,um^2,Dendrite,,8,,3,,1,,100000012,510000007491,
Dendrite Area,13.4233,um^2,Dendrite,,7,,4,,1,,100000012,510000007504,
Dendrite Area,16.8658,um^2,Dendrite,,7,,2,,1,,100000012,510000007537,
Dendrite Area,14.5417,um^2,Dendrite,,6,,3,,1,,100000012,510000007575,
Dendrite Area,4.51054,um^2,Dendrite,,7,,4,,1,,100000012,510000007614,
Dendrite Area,14.0006,um^2,Dendrite,,8,,4,,1,,100000012,510000007626,
Dendrite Area,2.43441,um^2,Dendrite,,6,,4,,1,,100000012,510000007796,
Dendrite Area,7.31515,um^2,Dendrite,,7,,5,,1,,100000012,510000007801,
Dendrite Area,17.2618,um^2,Dendrite,,7,,3,,1,,100000012,510000007823,
Dendrite Area,10.868,um^2,Dendrite,,7,,4,,1,,100000012,510000007884,
Dendrite Area,8.13151,um^2,Dendrite,,2,,3,,1,,100000012,510000007949,
Dendrite Area,8.93913,um^2,Dendrite,,8,,5,,1,,100000012,510000007972,
Dendrite Area,7.13869,um^2,Dendrite,,4,,4,,1,,100000012,510000007996,
Dendrite Area,19.5845,um^2,Dendrite,,7,,3,,1,,100000012,510000008086,
Dendrite Area,20.6323,um^2,Dendrite,,5,,3,,1,,100000012,510000008108,
Dendrite Area,33.8039,um^2,Dendrite,,5,,4,,1,,100000012,510000008156,
Dendrite Area,6.72243,um^2,Dendrite,,4,,4,,1,,100000012,510000008278,
Dendrite Area,6.14709,um^2,Dendrite,,4,,3,,1,,100000012,510000008344,
Dendrite Area,6.05188,um^2,Dendrite,,4,,3,,1,,100000012,510000008359,
Dendrite Area,14.7947,um^2,Dendrite,,2,,3,,1,,100000012,510000008375,
Dendrite Area,0.355524,um^2,Dendrite,,10,,5,,1,,100000012,510000008489,
Dendrite Branch Depth,0,,Dendrite,,0,,1,,1,,100000012,510000000001,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000012,510000000003,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000012,510000000046,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000012,510000000055,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000012,510000000087,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000012,510000000162,
Dendrite Branch Depth,3,,Dendrite,,3,,1,,1,,100000012,510000000182,
Dendrite Branch Depth,4,,Dendrite,,4,,1,,1,,100000012,510000000207,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000012,510000000213,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000012,510000000425,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000012,510000000466,
Dendrite Branch Depth,8,,Dendrite,,8,,4,,1,,100000012,510000000474,
Dendrite Branch Depth,9,,Dendrite,,9,,5,,1,,100000012,510000000485,
Dendrite Branch Depth,10,,Dendrite,,10,,6,,1,,100000012,510000000496,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000012,510000000501,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000012,510000000544,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000012,510000000648,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000012,510000000679,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000012,510000000745,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000012,510000000782,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000012,510000000868,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000012,510000000906,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000012,510000000990,
Dendrite Branch Depth,8,,Dendrite,,8,,3,,1,,100000012,510000001117,
Dendrite Branch Depth,7,,Dendrite,,7,,2,,1,,100000012,510000001210,
Dendrite Branch Depth,8,,Dendrite,,8,,3,,1,,100000012,510000001268,
Dendrite Branch Depth,9,,Dendrite,,9,,3,,1,,100000012,510000001325,
Dendrite Branch Depth,7,,Dendrite,,7,,2,,1,,100000012,510000001655,
Dendrite Branch Depth,8,,Dendrite,,8,,2,,1,,100000012,510000001688,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000012,510000001692,
Dendrite Branch Depth,7,,Dendrite,,7,,4,,1,,100000012,510000001775,
Dendrite Branch Depth,8,,Dendrite,,8,,2,,1,,100000012,510000001890,
Dendrite Branch Depth,9,,Dendrite,,9,,2,,1,,100000012,510000001992,
Dendrite Branch Depth,10,,Dendrite,,10,,2,,1,,100000012,510000002054,
Dendrite Branch Depth,10,,Dendrite,,10,,5,,1,,100000012,510000002058,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000012,510000002078,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000012,510000002113,
Dendrite Branch Depth,9,,Dendrite,,9,,4,,1,,100000012,510000002165,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000012,510000002178,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000012,510000002296,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000012,510000002323,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000012,510000002408,
Dendrite Branch Depth,8,,Dendrite,,8,,4,,1,,100000012,510000002423,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000012,510000002457,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000012,510000002491,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000012,510000002545,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000012,510000002617,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000012,510000002690,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000012,510000002764,
Dendrite Branch Depth,8,,Dendrite,,8,,3,,1,,100000012,510000002790,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000012,510000002945,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000012,510000003000,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000012,510000003061,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000012,510000003105,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000012,510000003114,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000012,510000003118,
Dendrite Branch Depth,7,,Dendrite,,7,,2,,1,,100000012,510000003163,
Dendrite Branch Depth,8,,Dendrite,,8,,3,,1,,100000012,510000003281,
Dendrite Branch Depth,9,,Dendrite,,9,,4,,1,,100000012,510000003624,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000012,510000003795,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000012,510000003824,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000012,510000003843,
Dendrite Branch Depth,6,,Dendrite,,6,,4,,1,,100000012,510000003879,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000012,510000003966,
Dendrite Branch Depth,7,,Dendrite,,7,,4,,1,,100000012,510000004000,
Dendrite Branch Depth,6,,Dendrite,,6,,4,,1,,100000012,510000004105,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000012,510000004315,
Dendrite Branch Depth,5,,Dendrite,,5,,4,,1,,100000012,510000004389,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000012,510000004417,
Dendrite Branch Depth,8,,Dendrite,,8,,3,,1,,100000012,510000004476,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000012,510000004524,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000012,510000004556,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000012,510000004594,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000012,510000004614,
Dendrite Branch Depth,7,,Dendrite,,7,,4,,1,,100000012,510000004668,
Dendrite Branch Depth,10,,Dendrite,,10,,3,,1,,100000012,510000004762,
Dendrite Branch Depth,5,,Dendrite,,5,,1,,1,,100000012,510000004842,
Dendrite Branch Depth,9,,Dendrite,,9,,3,,1,,100000012,510000004997,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000012,510000005018,
Dendrite Branch Depth,9,,Dendrite,,9,,4,,1,,100000012,510000005186,
Dendrite Branch Depth,7,,Dendrite,,7,,4,,1,,100000012,510000005674,
Dendrite Branch Depth,10,,Dendrite,,10,,4,,1,,100000012,510000006214,
Dendrite Branch Depth,9,,Dendrite,,9,,3,,1,,100000012,510000006382,
Dendrite Branch Depth,9,,Dendrite,,9,,4,,1,,100000012,510000006559,
Dendrite Branch Depth,6,,Dendrite,,6,,4,,1,,100000012,510000006744,
Dendrite Branch Depth,7,,Dendrite,,7,,5,,1,,100000012,510000006792,
Dendrite Branch Depth,9,,Dendrite,,9,,3,,1,,100000012,510000006795,
Dendrite Branch Depth,9,,Dendrite,,9,,4,,1,,100000012,510000006854,
Dendrite Branch Depth,8,,Dendrite,,8,,3,,1,,100000012,510000006870,
Dendrite Branch Depth,9,,Dendrite,,9,,3,,1,,100000012,510000006889,
Dendrite Branch Depth,8,,Dendrite,,8,,4,,1,,100000012,510000007114,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000012,510000007315,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000012,510000007403,
Dendrite Branch Depth,8,,Dendrite,,8,,2,,1,,100000012,510000007449,
Dendrite Branch Depth,8,,Dendrite,,8,,4,,1,,100000012,510000007472,
Dendrite Branch Depth,8,,Dendrite,,8,,3,,1,,100000012,510000007491,
Dendrite Branch Depth,7,,Dendrite,,7,,4,,1,,100000012,510000007504,
Dendrite Branch Depth,7,,Dendrite,,7,,2,,1,,100000012,510000007537,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000012,510000007575,
Dendrite Branch Depth,7,,Dendrite,,7,,4,,1,,100000012,510000007614,
Dendrite Branch Depth,8,,Dendrite,,8,,4,,1,,100000012,510000007626,
Dendrite Branch Depth,6,,Dendrite,,6,,4,,1,,100000012,510000007796,
Dendrite Branch Depth,7,,Dendrite,,7,,5,,1,,100000012,510000007801,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000012,510000007823,
Dendrite Branch Depth,7,,Dendrite,,7,,4,,1,,100000012,510000007884,
Dendrite Branch Depth,2,,Dendrite,,2,,3,,1,,100000012,510000007949,
Dendrite Branch Depth,8,,Dendrite,,8,,5,,1,,100000012,510000007972,
Dendrite Branch Depth,4,,Dendrite,,4,,4,,1,,100000012,510000007996,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000012,510000008086,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000012,510000008108,
Dendrite Branch Depth,5,,Dendrite,,5,,4,,1,,100000012,510000008156,
Dendrite Branch Depth,4,,Dendrite,,4,,4,,1,,100000012,510000008278,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000012,510000008344,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000012,510000008359,
Dendrite Branch Depth,2,,Dendrite,,2,,3,,1,,100000012,510000008375,
Dendrite Branch Depth,10,,Dendrite,,10,,5,,1,,100000012,510000008489,
Dendrite Branch Level,1,,Dendrite,,0,,1,,1,,100000012,510000000001,
Dendrite Branch Level,1,,Dendrite,,1,,1,,1,,100000012,510000000003,
Dendrite Branch Level,1,,Dendrite,,2,,1,,1,,100000012,510000000046,
Dendrite Branch Level,2,,Dendrite,,3,,2,,1,,100000012,510000000055,
Dendrite Branch Level,2,,Dendrite,,4,,2,,1,,100000012,510000000087,
Dendrite Branch Level,2,,Dendrite,,5,,2,,1,,100000012,510000000162,
Dendrite Branch Level,1,,Dendrite,,3,,1,,1,,100000012,510000000182,
Dendrite Branch Level,1,,Dendrite,,4,,1,,1,,100000012,510000000207,
Dendrite Branch Level,2,,Dendrite,,5,,2,,1,,100000012,510000000213,
Dendrite Branch Level,2,,Dendrite,,6,,2,,1,,100000012,510000000425,
Dendrite Branch Level,3,,Dendrite,,7,,3,,1,,100000012,510000000466,
Dendrite Branch Level,4,,Dendrite,,8,,4,,1,,100000012,510000000474,
Dendrite Branch Level,5,,Dendrite,,9,,5,,1,,100000012,510000000485,
Dendrite Branch Level,6,,Dendrite,,10,,6,,1,,100000012,510000000496,
Dendrite Branch Level,2,,Dendrite,,1,,2,,1,,100000012,510000000501,
Dendrite Branch Level,2,,Dendrite,,2,,2,,1,,100000012,510000000544,
Dendrite Branch Level,2,,Dendrite,,3,,2,,1,,100000012,510000000648,
Dendrite Branch Level,2,,Dendrite,,4,,2,,1,,100000012,510000000679,
Dendrite Branch Level,3,,Dendrite,,5,,3,,1,,100000012,510000000745,
Dendrite Branch Level,2,,Dendrite,,4,,2,,1,,100000012,510000000782,
Dendrite Branch Level,2,,Dendrite,,5,,2,,1,,100000012,510000000868,
Dendrite Branch Level,2,,Dendrite,,6,,2,,1,,100000012,510000000906,
Dendrite Branch Level,3,,Dendrite,,7,,3,,1,,100000012,510000000990,
Dendrite Branch Level,3,,Dendrite,,8,,3,,1,,100000012,510000001117,
Dendrite Branch Level,2,,Dendrite,,7,,2,,1,,100000012,510000001210,
Dendrite Branch Level,3,,Dendrite,,8,,3,,1,,100000012,510000001268,
Dendrite Branch Level,3,,Dendrite,,9,,3,,1,,100000012,510000001325,
Dendrite Branch Level,2,,Dendrite,,7,,2,,1,,100000012,510000001655,
Dendrite Branch Level,2,,Dendrite,,8,,2,,1,,100000012,510000001688,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000012,510000001692,
Dendrite Branch Level,4,,Dendrite,,7,,4,,1,,100000012,510000001775,
Dendrite Branch Level,2,,Dendrite,,8,,2,,1,,100000012,510000001890,
Dendrite Branch Level,2,,Dendrite,,9,,2,,1,,100000012,510000001992,
Dendrite Branch Level,2,,Dendrite,,10,,2,,1,,100000012,510000002054,
Dendrite Branch Level,5,,Dendrite,,10,,5,,1,,100000012,510000002058,
Dendrite Branch Level,2,,Dendrite,,5,,2,,1,,100000012,510000002078,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000012,510000002113,
Dendrite Branch Level,4,,Dendrite,,9,,4,,1,,100000012,510000002165,
Dendrite Branch Level,2,,Dendrite,,1,,2,,1,,100000012,510000002178,
Dendrite Branch Level,2,,Dendrite,,2,,2,,1,,100000012,510000002296,
Dendrite Branch Level,2,,Dendrite,,3,,2,,1,,100000012,510000002323,
Dendrite Branch Level,3,,Dendrite,,7,,3,,1,,100000012,510000002408,
Dendrite Branch Level,4,,Dendrite,,8,,4,,1,,100000012,510000002423,
Dendrite Branch Level,2,,Dendrite,,2,,2,,1,,100000012,510000002457,
Dendrite Branch Level,2,,Dendrite,,3,,2,,1,,100000012,510000002491,
Dendrite Branch Level,2,,Dendrite,,4,,2,,1,,100000012,510000002545,
Dendrite Branch Level,3,,Dendrite,,5,,3,,1,,100000012,510000002617,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000012,510000002690,
Dendrite Branch Level,3,,Dendrite,,7,,3,,1,,100000012,510000002764,
Dendrite Branch Level,3,,Dendrite,,8,,3,,1,,100000012,510000002790,
Dendrite Branch Level,2,,Dendrite,,5,,2,,1,,100000012,510000002945,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000012,510000003000,
Dendrite Branch Level,3,,Dendrite,,5,,3,,1,,100000012,510000003061,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000012,510000003105,
Dendrite Branch Level,3,,Dendrite,,7,,3,,1,,100000012,510000003114,
Dendrite Branch Level,2,,Dendrite,,6,,2,,1,,100000012,510000003118,
Dendrite Branch Level,2,,Dendrite,,7,,2,,1,,100000012,510000003163,
Dendrite Branch Level,3,,Dendrite,,8,,3,,1,,100000012,510000003281,
Dendrite Branch Level,4,,Dendrite,,9,,4,,1,,100000012,510000003624,
Dendrite Branch Level,3,,Dendrite,,3,,3,,1,,100000012,510000003795,
Dendrite Branch Level,3,,Dendrite,,4,,3,,1,,100000012,510000003824,
Dendrite Branch Level,3,,Dendrite,,5,,3,,1,,100000012,510000003843,
Dendrite Branch Level,4,,Dendrite,,6,,4,,1,,100000012,510000003879,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000012,510000003966,
Dendrite Branch Level,4,,Dendrite,,7,,4,,1,,100000012,510000004000,
Dendrite Branch Level,4,,Dendrite,,6,,4,,1,,100000012,510000004105,
Dendrite Branch Level,3,,Dendrite,,4,,3,,1,,100000012,510000004315,
Dendrite Branch Level,4,,Dendrite,,5,,4,,1,,100000012,510000004389,
Dendrite Branch Level,3,,Dendrite,,7,,3,,1,,100000012,510000004417,
Dendrite Branch Level,3,,Dendrite,,8,,3,,1,,100000012,510000004476,
Dendrite Branch Level,3,,Dendrite,,3,,3,,1,,100000012,510000004524,
Dendrite Branch Level,3,,Dendrite,,4,,3,,1,,100000012,510000004556,
Dendrite Branch Level,3,,Dendrite,,5,,3,,1,,100000012,510000004594,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000012,510000004614,
Dendrite Branch Level,4,,Dendrite,,7,,4,,1,,100000012,510000004668,
Dendrite Branch Level,3,,Dendrite,,10,,3,,1,,100000012,510000004762,
Dendrite Branch Level,1,,Dendrite,,5,,1,,1,,100000012,510000004842,
Dendrite Branch Level,3,,Dendrite,,9,,3,,1,,100000012,510000004997,
Dendrite Branch Level,3,,Dendrite,,3,,3,,1,,100000012,510000005018,
Dendrite Branch Level,4,,Dendrite,,9,,4,,1,,100000012,510000005186,
Dendrite Branch Level,4,,Dendrite,,7,,4,,1,,100000012,510000005674,
Dendrite Branch Level,4,,Dendrite,,10,,4,,1,,100000012,510000006214,
Dendrite Branch Level,3,,Dendrite,,9,,3,,1,,100000012,510000006382,
Dendrite Branch Level,4,,Dendrite,,9,,4,,1,,100000012,510000006559,
Dendrite Branch Level,4,,Dendrite,,6,,4,,1,,100000012,510000006744,
Dendrite Branch Level,5,,Dendrite,,7,,5,,1,,100000012,510000006792,
Dendrite Branch Level,3,,Dendrite,,9,,3,,1,,100000012,510000006795,
Dendrite Branch Level,4,,Dendrite,,9,,4,,1,,100000012,510000006854,
Dendrite Branch Level,3,,Dendrite,,8,,3,,1,,100000012,510000006870,
Dendrite Branch Level,3,,Dendrite,,9,,3,,1,,100000012,510000006889,
Dendrite Branch Level,4,,Dendrite,,8,,4,,1,,100000012,510000007114,
Dendrite Branch Level,2,,Dendrite,,6,,2,,1,,100000012,510000007315,
Dendrite Branch Level,3,,Dendrite,,7,,3,,1,,100000012,510000007403,
Dendrite Branch Level,2,,Dendrite,,8,,2,,1,,100000012,510000007449,
Dendrite Branch Level,4,,Dendrite,,8,,4,,1,,100000012,510000007472,
Dendrite Branch Level,3,,Dendrite,,8,,3,,1,,100000012,510000007491,
Dendrite Branch Level,4,,Dendrite,,7,,4,,1,,100000012,510000007504,
Dendrite Branch Level,2,,Dendrite,,7,,2,,1,,100000012,510000007537,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000012,510000007575,
Dendrite Branch Level,4,,Dendrite,,7,,4,,1,,100000012,510000007614,
Dendrite Branch Level,4,,Dendrite,,8,,4,,1,,100000012,510000007626,
Dendrite Branch Level,4,,Dendrite,,6,,4,,1,,100000012,510000007796,
Dendrite Branch Level,5,,Dendrite,,7,,5,,1,,100000012,510000007801,
